code,name,six_dim_score,change_pct,volume_ratio,close,six_dim_details,open,high,low,volume,turnover,ma5,ma10,ma20,rsi_6,bias_20,is_yang,body_ratio,upper_shadow_ratio,lower_shadow_ratio,close_position,amplitude
300568,星源材质,7,3.8263392071436733,1.7413017713532124,14.109999656677246,"{'趋势': '🟡 站上MA5 (+1)', 'K线': '🟡 阳线 (+1)', '量能': '✅ 放量上涨 量比1.74 (+2)', '分时': '✅ 收盘高于开盘 (+1)', '盘口': '✅ 振幅适中7.9% (+1)', '尾盘': '🟡 收于中上72% (+1)'}",13.40999984741211,14.40999984741211,13.329999923706055,72985612.0,1029826960.2623787,13.679999923706054,13.88100004196167,14.517500019073486,60.97561429470608,-2.8069596133001884,True,64.81480173286168,27.77779740070748,7.407400866430838,72.22220259929252,7.947019216923221
300589,江龙船艇,7,2.393909434973366,0.9302490945801801,18.81999969482422,"{'趋势': '🟡 站上MA5 (+1)', 'K线': '✅ 强势阳线 (+2)', '量能': '❌ 缩量 量比0.93 (0)', '分时': '✅ 收盘高于开盘 (+1)', '盘口': '✅ 振幅适中6.1% (+1)', '尾盘': '✅ 收于高位88% (+2)'}",18.15999984741211,18.950000762939453,17.829999923706055,27426028.0,516157838.5902405,18.50799980163574,18.305999946594238,19.19700002670288,64.0000025431315,-1.963850244070727,True,58.928513648601935,11.607229527097102,29.464256824300968,88.3927704729029,6.093584822485297
300603,立昂技术,7,2.2794800669783704,1.1477732050850842,10.319999694824219,"{'趋势': '🟡 站上MA5 (+1)', 'K线': '✅ 强势阳线 (+2)', '量能': '❌ 缩量 量比1.15 (0)', '分时': '✅ 收盘高于开盘 (+1)', '盘口': '✅ 振幅适中4.5% (+1)', '尾盘': '✅ 收于高位87% (+2)'}",10.0,10.380000114440918,9.930000305175781,15673650.0,161752063.21678162,10.068000030517577,10.222000026702881,10.342000007629395,53.28945593489916,-0.2127278359016238,True,71.11107343507277,13.333432232933992,15.555494331993245,86.666567767066,4.45985929098049
300769,德方纳米,7,3.8587609594372143,1.4538704789564476,41.18000030517578,"{'趋势': '🟡 站上MA5 (+1)', 'K线': '✅ 强势阳线 (+2)', '量能': '🟡 温和放量 量比1.45 (+1)', '分时': '✅ 收盘高于开盘 (+1)', '盘口': '✅ 振幅适中7.3% (+1)', '尾盘': '🟡 收于中上76% (+1)'}",39.16999816894531,41.86000061035156,38.970001220703125,16736779.0,689220564.3276596,40.24000091552735,41.88900032043457,43.569000244140625,38.8324994735428,-5.483256272987647,True,69.5502616170096,23.529427293702714,6.920311089287694,76.47057270629729,7.2887749771262484
300812,易天股份,7,8.280465706381932,1.636989868283451,32.43000030517578,"{'趋势': '✅ 多头排列 (+2)', 'K线': '🟡 阳线 (+1)', '量能': '✅ 放量上涨 量比1.64 (+2)', '分时': '✅ 收盘高于开盘 (+1)', '盘口': '❌ 振幅17.6% (0)', '尾盘': '🟡 收于中上71% (+1)'}",29.610000610351562,33.970001220703125,28.709999084472656,23198340.0,752322173.2795715,31.0560001373291,30.348999977111816,29.655499935150146,79.17329614457765,9.355770012621058,True,53.61213972519686,29.277572054960626,17.11028821984251,70.72242794503937,17.56261102583766
300813,泰林生物,7,2.3896319960545926,1.5811082791749271,25.280000686645508,"{'趋势': '🟡 站上MA5 (+1)', 'K线': '🟡 阳线 (+1)', '量能': '✅ 放量上涨 量比1.58 (+2)', '分时': '✅ 收盘高于开盘 (+1)', '盘口': '✅ 振幅适中4.9% (+1)', '尾盘': '🟡 收于中上69% (+1)'}",24.5,25.649999618530273,24.450000762939453,2831394.0,71577642.26416397,24.67600021362305,25.206000137329102,25.709000015258788,75.00003137089558,-1.6686737265496927,True,65.00011920940324,30.833273728631717,4.166607061965047,69.16672627136829,4.860262574460177
601857,中国石油,7,2.279209220119902,0.903391153928722,10.770000457763672,"{'趋势': '🟡 站上MA5 (+1)', 'K线': '✅ 强势阳线 (+2)', '量能': '❌ 缩量 量比0.90 (0)', '分时': '✅ 收盘高于开盘 (+1)', '盘口': '✅ 振幅适中4.7% (+1)', '尾盘': '✅ 收于高位94% (+2)'}",10.300000190734863,10.800000190734863,10.300000190734863,198501991.0,2137866533.9370003,10.60200023651123,10.652000236511231,10.290000104904175,44.23078510179997,4.664726413663789,True,94.00005340576172,5.999946594238281,0.0,94.00005340576172,4.748338202083865
688309,恒誉环保,7,4.549764775398396,0.8306847277704742,33.09000015258789,"{'趋势': '✅ 多头排列 (+2)', 'K线': '✅ 强势阳线 (+2)', '量能': '❌ 缩量 量比0.83 (0)', '分时': '✅ 收盘高于开盘 (+1)', '盘口': '✅ 振幅适中7.9% (+1)', '尾盘': '🟡 收于中上77% (+1)'}",31.65999984741211,33.65999984741211,31.170000076293945,2785043.0,92157073.29496384,31.536000061035157,30.11599998474121,28.248500061035156,77.44107448592565,17.13896341785207,True,57.42973641052275,22.89155611320613,19.678707476271125,77.10844388679386,7.867297949856317
688428,诺诚健华,7,10.13297132479227,1.4742353588208599,24.020000457763672,"{'趋势': '🟡 站上MA5 (+1)', 'K线': '✅ 强势阳线 (+2)', '量能': '🟡 温和放量 量比1.47 (+1)', '分时': '✅ 收盘高于开盘 (+1)', '盘口': '❌ 振幅12.9% (0)', '尾盘': '✅ 收于高位80% (+2)'}",21.920000076293945,24.579999923706055,21.760000228881836,23668619.0,568520239.214634,22.08599967956543,21.222999572753906,21.316499710083008,84.99096165194996,12.682667344310145,True,74.46810669249479,19.858139239170722,5.673754068334492,80.14186076082927,12.929847610623819
000688,国城矿业,6,5.67266973392304,0.9610930743784385,27.56999969482422,"{'趋势': '🟡 站上MA5 (+1)', 'K线': '✅ 强势阳线 (+2)', '量能': '❌ 缩量 量比0.96 (0)', '分时': '✅ 收盘高于开盘 (+1)', '盘口': '❌ 振幅11.1% (0)', '尾盘': '✅ 收于高位82% (+2)'}",25.6299991607666,28.100000381469727,25.209999084472656,23084444.0,636438114.0351868,27.368000030517578,28.567000007629396,27.716000080108643,40.68802112699638,-0.5267729284977384,True,67.12801603492096,18.33911587500734,14.532868090071693,81.66088412499266,11.077045918339746
